date,05时,06时,07时,08时,09时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时
2017年6月2日,117,473,109,197,704,823,798,472,523,427,345,390,523,689,472,484,352,184,22
2017年6月3日,83,391,162,294,589,687,731,664,484,429,469,538,540,551,644,382,380,152,14
2017年6月4日,133,541,142,202,812,764,780,700,719,423,460,598,685,639,449,371,317,169,57
2017年6月5日,143,476,180,252,642,691,641,339,521,441,340,476,578,755,574,374,202,152,56
2017年6月6日,165,519,246,283,654,885,846,654,504,493,501,570,549,529,521,264,221,88,0
2017年6月7日,143,528,195,206,651,905,741,517,644,489,325,535,559,648,500,304,277,220,23
2017年6月8日,116,589,205,267,637,840,881,626,584,496,398,579,567,490,478,372,246,84,0
2017年6月9日,108,565,158,197,765,1020,883,549,642,460,514,541,643,850,437,399,405,261,17
2017年6月10日,97,405,129,386,738,820,1019,573,570,408,549,547,430,528,451,332,410,212,49
2017年6月11日,128,568,118,244,690,880,794,657,526,496,496,532,656,648,363,434,403,189,35
2017年6月12日,119,532,130,166,653,765,628,401,614,388,303,452,632,769,456,355,287,273,5
2017年6月13日,157,596,201,342,633,925,954,642,481,400,429,394,600,688,546,390,324,108,0
2017年6月14日,163,468,213,227,731,951,858,655,648,581,375,602,596,799,385,327,316,189,51
2017年6月15日,99,579,253,360,734,885,864,525,383,518,345,581,719,435,509,295,310,113,30
2017年6月16日,123,605,128,244,936,839,845,477,594,504,505,666,686,887,662,450,255,122,8
2017年6月17日,134,360,177,468,812,1003,720,644,568,471,524,526,588,575,466,421,288,103,8
2017年6月18日,141,627,87,282,884,742,637,798,615,475,411,471,645,733,630,350,305,198,58
2017年6月19日,149,488,156,225,814,732,494,462,608,383,435,511,670,812,515,393,322,184,54
2017年6月20日,142,561,200,364,792,974,756,620,519,457,659,644,624,719,574,448,351,226,39
2017年6月21日,152,532,166,239,778,955,892,770,726,561,543,588,757,796,507,270,327,216,81
2017年6月22日,89,471,276,461,608,691,863,696,575,400,520,686,779,518,461,374,437,192,30
2017年6月23日,151,527,127,99,712,963,902,623,701,506,494,714,609,881,584,441,338,249,34
2017年6月24日,83,514,166,372,950,1069,892,589,494,537,618,557,678,708,575,431,334,108,13
2017年6月25日,147,605,94,360,797,829,651,796,777,599,522,485,633,874,540,388,363,179,63
2017年6月26日,136,689,101,240,831,918,664,496,527,388,435,600,635,842,626,376,244,217,62
2017年6月27日,139,586,203,277,780,954,974,616,388,513,581,619,659,531,469,402,347,187,1
2017年6月28日,129,585,119,215,945,1247,730,743,710,550,535,618,678,925,586,425,367,187,25
2017年6月29日,171,607,232,433,846,762,999,638,559,504,773,631,744,742,591,405,321,193,32
2017年6月30日,186,551,143,232,929,1201,851,616,610,431,438,582,651,802,666,524,390,277,37
2017年7月1日,186,551,143,232,929,1201,851,616,610,431,438,582,651,802,666,524,390,277,37
2017年7月2日,114,693,196,319,1072,1178,846,982,941,632,514,660,718,807,582,485,380,122,25
2017年7月3日,117,709,303,341,891,877,774,535,492,561,471,593,567,753,707,537,361,208,35
2017年7月4日,94,727,186,419,884,987,765,640,580,528,520,476,501,746,605,489,384,125,102
